mass,I1,J1,K1,I2,J2,K2,I3,J3,K3,width,height,depth,w1(0),w2(0),w3(0),h
1.0889E-238,5.73249E-25,2.76942E-16,2.76942E-16,9.41037E-48,3.0711E-109,9.41037E-48,8.45615E-84,0,8.45615E-84,0.10133065,0.053896946,1.328134298,0,0,0,0
3.16099E-06,0,2.0927E-106,2.0927E-106,1.38384E-16,1.18537E-92,1.38384E-16,9.4135E-278,0,9.4135E-278,1.298259328,1.085774927,1.300232505,0,0,1.97113E-24,0
8.5932E-302,0.001869779,8.355507504,8.357377284,1.04226E-07,4.9217E-256,1.04226E-07,1.52031E-78,1.26569E-69,1.26569E-69,0.117075459,1.239870406,0.007158653,8.5189E-212,0,0,0
0,3.56888E-38,0,3.56888E-38,0,1.3211E-153,1.3211E-153,5.3868E-156,0,5.3868E-156,0.005312202,0.052310031,1.307475547,1.2678E-05,0,19.16585799,0
2.5665E-205,7.0879E-113,0,7.0879E-113,1.816E-120,2.7513E-154,1.816E-120,1.0245E-140,7.0388E-184,1.0245E-140,0.660231763,0.019035359,0.0438183,0,0,0,0
0,4.2816E-163,0,4.2816E-163,3.20122E-25,0,3.20122E-25,2.14332E-05,1.0287E-178,2.14332E-05,1.329601175,0.852747863,0.640668992,0,0,9.0921E-264,0
2.5394E-63,3.87619E-36,0,3.87619E-36,3.6554E-140,0,3.6554E-140,1.83019E-30,4.6553E-112,1.83019E-30,1.317646807,1.201144812,0.237574517,0,0,0,0
2.718E-222,1.70676E-39,0,1.70676E-39,0,9.13724E-70,9.13724E-70,0,6.5261E-217,6.5261E-217,0.011771996,0.014873511,1.328902158,0,1.7286E-172,0,0
3.28412E-06,2.92599E-17,0,2.92599E-17,1.7636E-18,2.59719E-23,1.76362E-18,1.55092E-50,1.05415E-09,1.05415E-09,0.043665502,0.373499606,0.061583111,1.0453E-104,0,0,0
2.96243E-20,2.7155E-159,4.6648E-167,2.7155E-159,4.36486E-87,0.641396087,0.641396087,0,0,0,0.056680626,0.458739616,0.893571934,18.10809563,0,0,0
1.4196E-141,3.76E-262,1.1134E-21,1.1134E-21,0,2.19355E-12,2.19355E-12,8.2242E-222,2.71633E-20,2.71633E-20,0.022213514,1.328108229,0.275328799,0,0,4.79298E-90,0
3.7229E-150,1.9912E-263,2.9421E-225,2.9421E-225,3.326E-135,0,3.326E-135,2.23682E-82,4.08724E-37,4.08724E-37,0.909243095,0.0205579,0.207721591,0,0,6.8719E-276,0
0,5.96932E-64,0,5.96932E-64,1.507E-148,5.10326E-15,5.10326E-15,3.1183E-147,8.7795E-198,3.1183E-147,1.055433153,0.910275607,0.071791715,7.7124E-121,0,2.9517E-271,0
0,1.9004E-163,2.6045E-202,1.9004E-163,0,0,0,0,0,0,0.009006018,0.736560555,0.036226583,0,0,9.399E-147,1
2.5473E-207,1.3257E-205,7.8894E-205,9.2151E-205,6.3164E-305,3.71453E-87,3.71453E-87,4.787E-281,7.458E-305,4.787E-281,0.199425491,0.060199836,0.00800556,3.57452E-53,2.1417E-266,0,2
0,4.96427E-06,0,4.96427E-06,5.0537E-231,1.51762E-68,1.51762E-68,4.2947E-176,9.4983E-141,9.4983E-141,0.019814579,0.034020642,0.423398679,1.9026E-185,3.30203E-08,1.5989E-301,3
